time,n
0.002011,764000
0.002049,765000
0.001995,766000
0.002011,767000
0.001981,768000
0.001926,769000
0.001964,770000
0.002065,771000
0.002093,772000
0.00218,773000
0.002071,774000
0.002093,775000
0.00209,776000
0.002024,777000
0.002078,778000
0.002022,779000
0.002145,780000
0.002172,781000
0.002067,782000
0.002037,783000
0.002064,784000
0.002123,785000
0.00209,786000
0.002027,787000
0.002049,788000
0.002084,789000
0.002176,790000
0.002068,791000
0.002056,792000
0.002015,793000
0.00204,794000
0.002041,795000
0.001891,796000
0.001833,797000
0.001846,798000
0.001901,799000
0.001977,800000
0.001962,801000
0.001919,802000
0.001929,803000
0.001921,804000
0.001947,805000
0.001939,806000
0.001928,807000
0.001922,808000
0.001996,809000
0.00197,810000
0.002017,811000
0.001959,812000
0.002017,813000
0.001941,814000
0.00195,815000
0.002026,816000
0.002001,817000
0.001971,818000
0.001973,819000
0.001964,820000
0.001987,821000
0.002005,822000
0.001981,823000
0.001969,824000
0.001966,825000
0.002027,826000
0.002045,827000
0.001918,828000
0.001961,829000
0.001934,830000
0.002059,831000
0.00204,832000
0.001992,833000
0.001962,834000
0.00202,835000
0.00196,836000
0.002007,837000
0.00195,838000
0.001936,839000
0.001932,840000
0.002018,841000
0.002002,842000
0.002034,843000
0.001961,844000
0.002029,845000
0.001985,846000
0.001979,847000
0.001949,848000
0.001974,849000
0.001977,850000
0.001996,851000
0.001983,852000
0.002056,853000
0.002026,854000
0.002026,855000
0.002055,856000
0.002002,857000
0.001973,858000
0.002061,859000
0.00209,860000
0.002112,861000
0.002084,862000
0.002074,863000
0.002066,864000
0.002072,865000
0.002169,866000
0.002119,867000
0.002076,868000
0.002072,869000
0.002006,870000
0.002039,871000
0.002032,872000
0.002016,873000
0.002015,874000
0.002205,875000
0.002149,876000
0.002124,877000
0.002106,878000
0.00211,879000
0.002138,880000
0.002056,881000
0.002113,882000
0.002126,883000
0.002117,884000
0.002146,885000
0.002134,886000
0.002113,887000
0.002115,888000
0.002113,889000
0.002181,890000
0.002078,891000
0.002129,892000
0.002059,893000
0.002118,894000
0.002182,895000
0.002158,896000
0.002155,897000
0.002083,898000
0.002142,899000
0.002185,900000
0.002192,901000
0.002081,902000
0.002152,903000
0.002147,904000
0.00211,905000
0.00209,906000
0.00216,907000
0.002177,908000
0.00219,909000
0.002192,910000
0.002109,911000
0.002172,912000
0.002177,913000
0.002199,914000
0.00222,915000
0.00216,916000
0.002211,917000
0.002219,918000
0.002222,919000
0.002115,920000
0.002184,921000
0.0022,922000
0.002233,923000
0.002277,924000
0.002244,925000
0.002135,926000
0.002131,927000
0.002285,928000
0.002208,929000
0.002155,930000
0.00214,931000
0.002282,932000
0.002287,933000
0.002254,934000
0.002174,935000
0.002233,936000
0.002182,937000
0.002275,938000
0.002214,939000
0.002253,940000
0.002298,941000
0.002322,942000
0.002198,943000
0.002194,944000
0.002248,945000
0.002297,946000
0.002205,947000
0.002254,948000
0.003033,949000
0.002658,950000
0.002628,951000
0.003147,952000
0.007288,953000
0.003316,954000
0.00347,955000
0.00364,956000
0.004609,957000
0.003026,958000
0.003078,959000
0.003292,960000
0.003741,961000
0.004486,962000
0.003538,963000
0.003016,964000
0.003098,965000
0.003112,966000
0.003014,967000
0.002996,968000
0.003038,969000
0.003037,970000
0.002891,971000
0.002863,972000
0.002847,973000
0.002967,974000
0.002862,975000
0.002874,976000
0.002911,977000
0.002951,978000
0.002875,979000
0.002918,980000
0.002552,981000
0.002549,982000
0.002471,983000
0.002575,984000
0.002581,985000
0.002527,986000
0.002451,987000
0.002526,988000
0.002479,989000
0.002597,990000
0.002504,991000
0.00252,992000
0.002484,993000
0.002477,994000
0.00247,995000
0.002482,996000
0.00256,997000
0.002641,998000
0.002699,999000
